Source,Target,Weight
Chihiro_yuki23,KyoKanek0,0.0045
Chihiro_yuki23,MariaMari0nette,0.006
Chihiro_yuki23,AsterArcadia,0.0044
Chihiro_yuki23,AiaAmare,0.007
Chihiro_yuki23,RenZott0,0.0047
Chihiro_yuki23,ScarleYonaguni,0.006
Chihiro_yuki23,riku_tazumi,0.0441
Chihiro_yuki23,VTA_ANYCOLOR,0.052
Chihiro_yuki23,Taka_Radjiman,0.078
Chihiro_yuki23,ZEA_Cornelia,0.0647
Chihiro_yuki23,Hana_Macchia,0.0729
Chihiro_yuki23,Rai_Galilei,0.0572
Chihiro_yuki23,AmiciaMichella,0.0667
Chihiro_yuki23,MiyuOttavia,0.0617
Chihiro_yuki23,RiksaDhirendra,0.0633
Chihiro_yuki23,Azura_Cecillia,0.0515
Chihiro_yuki23,Nara_Haramaung,0.0669
Chihiro_yuki23,LaylaAlstro2434,0.0725
Chihiro_yuki23,Etna_Crimson,0.0606
Chihiro_yuki23,bobon_pranaja,0.0585
Chihiro_yuki23,SiskaLeontyne,0.0647
Chihiro_yuki23,NagisaArcinia,0.0596
Chihiro_yuki23,DeremKado,0.0639
Chihiro_yuki23,RezaAvanluna,0.0726
Chihiro_yuki23,HyonaElatiora,0.0676
Chihiro_yuki23,Xia_Ekavira,0.0672
Chihiro_yuki23,MikaMelatika,0.0158
Chihiro_yuki23,Wiffy2434,0.0058
Chihiro_yuki23,YuyaShin2434,0.0098
Chihiro_yuki23,SuhaMin2434,0.0356
Chihiro_yuki23,Gaon2434,0.077
Chihiro_yuki23,KaenVtuber,0.0038
Chihiro_yuki23,LOROU_vtuber,0.0032
Chihiro_yuki23,HanChiho2434,0.0176
Chihiro_yuki23,VtuberHakuRen,0.0055
Chihiro_yuki23,NagiSo2434,0.1052
Chihiro_yuki23,AraChae2434,0.0099
Chihiro_yuki23,SiuLee2434,0.0105
Chihiro_yuki23,BoraNun2434,0.0411
Chihiro_yuki23,RayAkira2434,0.086
Chihiro_yuki23,RohaLee2434,0.0937
Chihiro_yuki23,NariYang2434,0.178
Chihiro_yuki23,HariRyu2434,0.0846
Chihiro_yuki23,KiruShin2434,0.0103
Chihiro_yuki23,JiyuOh2434,0.1025
Chihiro_yuki23,Seffyna2434,0.1338
Chihiro_yuki23,SongMia2434,0.0121
Chihiro_yuki23,BanHada2434,0.0876
Chihiro_yuki23,KoYami2434,0.0106
Chihiro_yuki23,HaYun2434,0.148
Chihiro_yuki23,NaSera2434,0.1085
Chihiro_yuki23,LeeOn2434,0.0077
Elu_World,HiguchiKaede,0.3265
Elu_World,ShizuRin23,0.4595
Elu_World,sibuya_hajime,0.4833
Elu_World,aki_suzuya,0.4196
Elu_World,Moiramoimoimoi,0.3489
Elu_World,suzukautako,0.4278
Elu_World,ushimi_ichigo,0.3035
Elu_World,ienaga_mugi23,0.4377
Elu_World,Yuuhi_Riri,0.3142
Elu_World,AliceMononobe,0.3441
Elu_World,nekokan_chu,0.4725
Elu_World,gaku_fushimi,0.1701
Elu_World,Gilzaren_III,0.3559
Elu_World,rei_Toya_rei,0.0714
Elu_World,KazakiMorinaka,0.4706
Elu_World,Kanae_2434,0.0681
Elu_World,Youko_Akabane,0.467
Elu_World,saku_sasaki,0.2568
Elu_World,_rnrrdark,0.0154
Elu_World,honmahimawari,0.3206
Elu_World,makaino_ririmu,0.3379
Elu_World,Vamp_Kuzu,0.0529
Elu_World,setsuna2434,0.0123
Elu_World,yuika_siina,0.2264
Elu_World,___Dola,0.4896
Elu_World,god_yaksa23,0.0146
Elu_World,azuma_dazo,0.0212
Elu_World,ikasumi_zzz,0.1052
Elu_World,KT_seeds,0.4661
Elu_World,SisterCleaire,0.4136
Elu_World,ZulmIhP1nlMOT5y,0.3168
Elu_World,846kizuQ,0.1564
Elu_World,momo_azuchi_,0.4077
Elu_World,Darkness_Eater,0.3585
Elu_World,midori_2434,0.2688
Elu_World,udukikohh,0.3728
Elu_World,839yuzu,0.0178
Elu_World,Kanda_Shoichi,0.3712
Elu_World,nArUtO_kOgAnE,0.0108
Elu_World,hina__asuka,0.3244
Elu_World,harusakiair2434,0.4206
Elu_World,Sayo_Amemori,0.2838
Elu_World,TakamiyaRion,0.3425
Elu_World,maimoto_k,0.3152
Elu_World,RindouMikoto,0.4107
Elu_World,debidebiru_sama,0.2204
Elu_World,SAKURA_RITSUKI,0.4636
Elu_World,chima_machita23,0.3299
Elu_World,tukimi_sizuku,0.017
Elu_World,JoeRikiichi,0.3113
Elu_World,ac1kt,0.0192
Elu_World,narusenaru_2434,0.3845
Elu_World,belmond_b_2434,0.3612
Elu_World,Rine_Yaguruma,0.3839
Elu_World,kakeru_yumeoi,0.3434
Elu_World,BlackShiba_chan,0.4822
Elu_World,kudou_chitose,0.0247
Elu_World,g9v9g_mirei,0.2566
Elu_World,yuzuki_roa,0.2222
Elu_World,onomachi_haruka,0.4348
Elu_World,KataribeTsumugu,0.2223
Elu_World,seto_miyako,0.4444
Elu_World,inui_toko,0.1747
Elu_World,Ange_Katrina_,0.2223
Elu_World,Lize_Helesta,0.2511
Elu_World,333akina,0.0745
Elu_World,manami_aizono,0.4389
Elu_World,lulu_suzuhara,0.0694
Elu_World,MahiroYukishiro,0.4747
Elu_World,Ex_Albio,0.3176
Elu_World,Levi_E_2434,0.4789
Elu_World,Hayama_Marin,0.4361
Elu_World,Nui_Sociere,0.4022
Elu_World,Hakase_Fuyuki,0.3773
Elu_World,H_KAGAMI2434,0.0915
Elu_World,rena_yorumi,0.2818
Elu_World,ars_almal,0.1939
Elu_World,AibaUiha,0.2182
Elu_World,amamiya_kokoro,0.1389
Elu_World,Eli_Conifer,0.4808
Elu_World,ratna_petit,0.1681
Elu_World,SouHayase,0.4414
Elu_World,sukosuko_sukoya,0.1925
Elu_World,ShellinBurgundy,0.3013
Elu_World,FumiVirtual,0.4987
Elu_World,Sara_Hoshikawa,0.0844
Elu_World,Karuta_Yamagami,0.4747
Elu_World,emma_august_,0.4173
Elu_World,Luis_Cammy,0.4493
Elu_World,matsukai_mao,0.4606
Elu_World,Fuwa_Minato,0.0541
Elu_World,Tomoe_Shirayuki,0.338
Elu_World,Gwelu_os_gar,0.2097
Elu_World,mashiro2434,0.2995
Elu_World,Naraka_2434,0.2173
Elu_World,kurusu72me,0.4783
Elu_World,furen_2434,0.2722
Elu_World,honmono_ibrahim,0.116
Elu_World,kei_nagao2434,0.0967
Elu_World,1O46V,0.1277
Elu_World,Kaida_Haru,0.0722
Elu_World,kirame_2434,0.4505
Elu_World,meiro_oO,0.0162
Elu_World,Akane_Asahina__,0.3971
Elu_World,Suo_Sango,0.2491
Elu_World,kohaku_todo,0.3396
Elu_World,Hisui_Kitakoji,0.3509
Elu_World,Chigusa_24zono,0.2568
Elu_World,AXIA_96NE,0.1541
Elu_World,Lauren_iroas,0.1505
Elu_World,Leos_Vincent,0.1279
Elu_World,oliverD_23,0.1237
Elu_World,Lain_Paterson,0.1852
Elu_World,Muyu_Amagase,0.3523
Elu_World,ponto_nei,0.2475
Elu_World,Yotsuha_Umise,0.1879
Elu_World,1000000lome,0.0277
Elu_World,KNTFR2434,0.1138
Elu_World,watarai_hibari,0.0836
